Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
04-Apr-2016 00:00,05-Apr-2016 00:00,5.52967329812718,18.0,11897.0
05-Apr-2016 00:00,06-Apr-2016 00:00,3.9069194893544,21.0,8974.0
06-Apr-2016 00:00,07-Apr-2016 00:00,1.06795670098533,9.0,2296.0
07-Apr-2016 00:00,08-Apr-2016 00:00,2.89824191501975,15.0,6797.0
08-Apr-2016 00:00,09-Apr-2016 00:00,3.31911679023103,23.0,7520.79970638688
09-Apr-2016 00:00,10-Apr-2016 00:00,3.24401432726951,5.0,7542.20029361312
10-Apr-2016 00:00,11-Apr-2016 00:00,2.77777425551401,5.0,6166.0
11-Apr-2016 00:00,12-Apr-2016 00:00,0.854466389731756,2.0,2010.0
12-Apr-2016 00:00,13-Apr-2016 00:00,4.3743930234105,16.0,10650.0
13-Apr-2016 00:00,14-Apr-2016 00:00,4.10272712175695,14.0,9884.0
14-Apr-2016 00:00,15-Apr-2016 00:00,3.25153670652099,17.0,7836.0
15-Apr-2016 00:00,16-Apr-2016 00:00,5.35855906880445,21.0,12961.0
16-Apr-2016 00:00,17-Apr-2016 00:00,0.686798797360986,0.0,1650.0
17-Apr-2016 00:00,18-Apr-2016 00:00,1.41037658506191,10.0,3557.0
18-Apr-2016 00:00,19-Apr-2016 00:00,3.81123849924488,23.0,9610.0
19-Apr-2016 00:00,20-Apr-2016 00:00,4.11559244819319,21.0,9379.0
20-Apr-2016 00:00,21-Apr-2016 00:00,4.08686754110823,14.0,9803.0
21-Apr-2016 00:00,22-Apr-2016 00:00,3.14901185129704,24.0,7476.0
22-Apr-2016 00:00,23-Apr-2016 00:00,2.07564599914924,17.0,4730.0
23-Apr-2016 00:00,24-Apr-2016 00:00,0.927801339574855,4.0,2288.31272664924
24-Apr-2016 00:00,25-Apr-2016 00:00,3.15542174509191,6.0,7474.68727335076
25-Apr-2016 00:00,26-Apr-2016 00:00,2.6903172569354,12.0,6720.0
26-Apr-2016 00:00,27-Apr-2016 00:00,3.92872705402935,20.0,9806.0
27-Apr-2016 00:00,28-Apr-2016 00:00,6.07084504183984,24.0,15129.8552456405
28-Apr-2016 00:00,29-Apr-2016 00:00,3.87789300182757,16.0,9015.14475435945
29-Apr-2016 00:00,30-Apr-2016 00:00,5.27631673627637,19.0,12603.0
30-Apr-2016 00:00,01-May-2016 00:00,1.65197607582863,16.0,3943.0
01-May-2016 00:00,02-May-2016 00:00,3.25176694279821,14.0,7508.0
02-May-2016 00:00,03-May-2016 00:00,6.71873416065854,17.0,16192.0
03-May-2016 00:00,04-May-2016 00:00,5.67513847452165,27.0,13663.0
04-May-2016 00:00,05-May-2016 00:00,3.96770196092346,16.0,9817.0
05-May-2016 00:00,06-May-2016 00:00,5.68555186979842,0.0,13387.0
06-May-2016 00:00,07-May-2016 00:00,5.6206794269529,16.0,12895.0
07-May-2016 00:00,08-May-2016 00:00,4.46996745973647,14.0,10521.0
08-May-2016 00:00,09-May-2016 00:00,4.14268657709967,8.0,9613.0
09-May-2016 00:00,10-May-2016 00:00,3.39678737770624,5.0,7771.0
10-May-2016 00:00,11-May-2016 00:00,4.10656092378958,33.0,9412.0
11-May-2016 00:00,12-May-2016 00:00,5.70025622399488,35.0,13730.6679115888
12-May-2016 00:00,13-May-2016 00:00,4.95616593109836,27.0,11426.3320884112
13-May-2016 00:00,14-May-2016 00:00,5.9428476923465,37.0,13423.0467869069
14-May-2016 00:00,15-May-2016 00:00,5.96356685386211,21.0,13996.9297404621
15-May-2016 00:00,16-May-2016 00:00,2.71493707934322,11.0,6461.02347263101
16-May-2016 00:00,17-May-2016 00:00,3.81688217127816,19.0,8836.0
17-May-2016 00:00,18-May-2016 00:00,4.18238465496112,11.0,9890.0
18-May-2016 00:00,19-May-2016 00:00,5.16309494172045,13.0,11944.0
19-May-2016 00:00,20-May-2016 00:00,6.90497102224152,28.0,16004.0
20-May-2016 00:00,21-May-2016 00:00,6.36887102727986,33.0,15244.084063131
21-May-2016 00:00,22-May-2016 00:00,8.3126326297825,9.0,20726.915936869
22-May-2016 00:00,23-May-2016 00:00,3.14246739370632,1.0,8242.0
23-May-2016 00:00,24-May-2016 00:00,3.44100005725432,16.0,7836.0
24-May-2016 00:00,25-May-2016 00:00,2.10106968155455,11.0,4922.0
25-May-2016 00:00,26-May-2016 00:00,2.42366610557875,13.0,5777.0
26-May-2016 00:00,27-May-2016 00:00,3.14493079619857,11.0,7511.30782875193
27-May-2016 00:00,28-May-2016 00:00,4.75565739713935,22.0,10468.6921712481
28-May-2016 00:00,29-May-2016 00:00,2.70718885641169,12.0,5854.48474975852
